Entity,Year,Historical urban fraction estimate per region (HYDE 3.1 (2010)),Total urban area per world region (HYDE 3.1 (2010)),Historical rural fraction estimate per region (HYDE 3.1 (2010))
Antarctica,-10000,0,,
Antarctica,-5000,0,,
Antarctica,0,0,,
Antarctica,500,0,,
Antarctica,1000,0,,
Antarctica,1500,0,,
Antarctica,1600,0,,
Antarctica,1700,0,,
Antarctica,1800,0,,
Antarctica,1900,0,,
Antarctica,1950,0,,
Antarctica,2000,0,,
Asia-Stan,-10000,0,0,
Asia-Stan,-5000,0,0,
Asia-Stan,0,0,0,
Asia-Stan,500,0,0,
Asia-Stan,1000,0,0,
Asia-Stan,1500,.1,3,
Asia-Stan,1600,.30000001,10,
Asia-Stan,1700,.80000001,29,
Asia-Stan,1800,1.6,40,
Asia-Stan,1900,11.8,373,
Asia-Stan,1950,33.599998,1499,
Asia-Stan,2000,41.700001,5791,
Brazil,-10000,0,0,
Brazil,-5000,0,0,
Brazil,0,0,0,
Brazil,500,0,0,
Brazil,1000,0,0,
Brazil,1500,.40000001,9,
Brazil,1600,1.2,22,
Brazil,1700,3.5999999,72,
Brazil,1800,9.1999998,163,
Brazil,1900,22.9,843,
Brazil,1950,36.200001,3145,
Brazil,2000,81.199997,22168,
Canada,-10000,0,0,
Canada,-5000,0,0,
Canada,0,0,0,
Canada,500,0,0,
Canada,1000,0,0,
Canada,1500,.2,0,
Canada,1600,.69999999,0,
Canada,1700,2,1,
Canada,1800,7.9000001,7,
Canada,1900,37.5,193,
Canada,1950,60.900002,1126,
Canada,2000,79.5,6030,
Central Europe,-10000,0,0,
Central Europe,-5000,0,0,
Central Europe,0,0,0,
Central Europe,500,0,0,
Central Europe,1000,0,10,
Central Europe,1500,3.2,1657,
Central Europe,1600,3.9000001,2286,
Central Europe,1700,3.2,1419,
Central Europe,1800,4.3000002,1403,
Central Europe,1900,18.700001,4182,
Central Europe,1950,34.599998,6495,
Central Europe,2000,60,17088,
China,-10000,0,0,
China,-5000,.30000001,52,
China,0,1,1310,
China,500,3.2,2300,
China,1000,5,2861,
China,1500,6.5,4013,
China,1600,7,5762,
China,1700,5.9000001,3916,
China,1800,6,3923,
China,1900,6.5999999,2846,
China,1950,13.4,7005,
China,2000,36.900002,43199,
Eastern Africa,-10000,0,0,
Eastern Africa,-5000,0,0,
Eastern Africa,0,0,0,
Eastern Africa,500,0,0,
Eastern Africa,1000,0,0,
Eastern Africa,1500,0,8,
Eastern Africa,1600,.1,24,
Eastern Africa,1700,.40000001,69,
Eastern Africa,1800,1.2,73,
Eastern Africa,1900,3.2,181,
Eastern Africa,1950,5,395,
Eastern Africa,2000,17.9,5853,
Greenland,-10000,0,0,
Greenland,-5000,0,0,
Greenland,0,0,0,
Greenland,500,0,0,
Greenland,1000,0,0,
Greenland,1500,.1,0,
Greenland,1600,.2,0,
Greenland,1700,.5,0,
Greenland,1800,3.2,0,
Greenland,1900,19.700001,0,
Greenland,1950,49,0,
Greenland,2000,81.599998,24,
India,-10000,0,0,
India,-5000,0,0,
India,0,1.7,931,
India,500,2.5,1012,
India,1000,3.4000001,1110,
India,1500,4.4000001,942,
India,1600,4.5999999,1154,
India,1700,4.9000001,1419,
India,1800,6.4000001,1729,
India,1900,10,2615,
India,1950,15.5,4953,
India,2000,27.5,23854,
Indonesia,-10000,0,0,
Indonesia,-5000,0,0,
Indonesia,0,0,0,
Indonesia,500,0,0,
Indonesia,1000,0,0,
Indonesia,1500,.1,11,
Indonesia,1600,.40000001,34,
Indonesia,1700,1.1,101,
Indonesia,1800,2.9000001,134,
Indonesia,1900,7.5999999,479,
Indonesia,1950,12.2,1181,
Indonesia,2000,41.299999,8772,
Japan,-10000,0,0,
Japan,-5000,0,0,
Japan,0,.1,12,
Japan,500,.40000001,80,
Japan,1000,2.9000001,445,
Japan,1500,2.9000001,468,
Japan,1600,4.4000001,747,
Japan,1700,5,1104,
Japan,1800,5,504,
Japan,1900,20.9,1887,
Japan,1950,34.900002,5049,
Japan,2000,65.199997,13450,
Korea,-10000,0,0,
Korea,-5000,0,0,
Korea,0,0,0,
Korea,500,0,0,
Korea,1000,0,0,
Korea,1500,.2,4,
Korea,1600,.60000002,13,
Korea,1700,1.7,43,
Korea,1800,4.6999998,81,
Korea,1900,13.8,144,
Korea,1950,24.6,420,
Korea,2000,73.199997,2919,
Mexico,-10000,0,0,
Mexico,-5000,0,0,
Mexico,0,0,0,
Mexico,500,0,0,
Mexico,1000,0,0,
Mexico,1500,.2,102,
Mexico,1600,.5,11,
Mexico,1700,1.6,112,
Mexico,1800,5.8000002,308,
Mexico,1900,21.9,669,
Mexico,1950,42.700001,1884,
Mexico,2000,74.699997,10520,
Middle East,-10000,0,0,
Middle East,-5000,.30000001,99,
Middle East,0,.69999999,977,
Middle East,500,.89999998,861,
Middle East,1000,1.2,666,
Middle East,1500,1.5,355,
Middle East,1600,1.7,421,
Middle East,1700,2.0999999,417,
Middle East,1800,5.6999998,521,
Middle East,1900,15.8,765,
Middle East,1950,28,1507,
Middle East,2000,64.400002,15497,
Northern Africa,-10000,0,0,
Northern Africa,-5000,.1,5,
Northern Africa,0,.60000002,295,
Northern Africa,500,.89999998,231,
Northern Africa,1000,1.4,239,
Northern Africa,1500,2,150,
Northern Africa,1600,2.3,193,
Northern Africa,1700,2.8,170,
Northern Africa,1800,7,158,
Northern Africa,1900,17.700001,560,
Northern Africa,1950,28.6,1383,
Northern Africa,2000,51.299999,13038,
Oceania,-10000,0,0,
Oceania,-5000,0,0,
Oceania,0,0,0,
Oceania,500,0,0,
Oceania,1000,0,0,
Oceania,1500,.1,3,
Oceania,1600,.40000001,14,
Oceania,1700,1,49,
Oceania,1800,8.3000002,801,
Oceania,1900,35,2035,
Oceania,1950,71.900002,4433,
Oceania,2000,82.400002,13871,
Rest Central America,-10000,0,0,
Rest Central America,-5000,0,0,
Rest Central America,0,0,0,
Rest Central America,500,0,0,
Rest Central America,1000,0,0,
Rest Central America,1500,.30000001,20,
Rest Central America,1600,.89999998,41,
Rest Central America,1700,2.7,129,
Rest Central America,1800,7.5,200,
Rest Central America,1900,20,596,
Rest Central America,1950,34.299999,1927,
Rest Central America,2000,57,8383,
Rest South America,-10000,0,0,
Rest South America,-5000,0,0,
Rest South America,0,0,0,
Rest South America,500,0,0,
Rest South America,1000,0,1,
Rest South America,1500,.2,122,
Rest South America,1600,1.3,125,
Rest South America,1700,3.9000001,367,
Rest South America,1800,10.1,311,
Rest South America,1900,29.799999,1029,
Rest South America,1950,48.799999,3579,
Rest South America,2000,77.699997,16232,
Russia,-10000,0,0,
Russia,-5000,0,0,
Russia,0,0,0,
Russia,500,0,0,
Russia,1000,0,0,
Russia,1500,.2,19,
Russia,1600,.60000002,64,
Russia,1700,1.9,189,
Russia,1800,1.9,203,
Russia,1900,14.4,2416,
Russia,1950,43.900002,9177,
Russia,2000,71.5,21064,
Southeastern Asia,-10000,0,0,
Southeastern Asia,-5000,0,0,
Southeastern Asia,0,0,0,
Southeastern Asia,500,0,0,
Southeastern Asia,1000,0,0,
Southeastern Asia,1500,.2,24,
Southeastern Asia,1600,.5,83,
Southeastern Asia,1700,1.5,290,
Southeastern Asia,1800,3.9000001,398,
Southeastern Asia,1900,10.2,877,
Southeastern Asia,1950,17.9,2309,
Southeastern Asia,2000,38.200001,13989,
Southern Africa,-10000,0,0,
Southern Africa,-5000,0,0,
Southern Africa,0,0,0,
Southern Africa,500,0,0,
Southern Africa,1000,0,0,
Southern Africa,1500,.1,8,
Southern Africa,1600,.40000001,24,
Southern Africa,1700,1.3,79,
Southern Africa,1800,2.4000001,66,
Southern Africa,1900,7.4000001,257,
Southern Africa,1950,21.299999,1288,
Southern Africa,2000,48.5,9108,
Turkey,-10000,0,0,
Turkey,-5000,0,0,
Turkey,0,1,371,
Turkey,500,1.4,250,
Turkey,1000,1.9,220,
Turkey,1500,2.3,120,
Turkey,1600,2.4000001,140,
Turkey,1700,2.5,134,
Turkey,1800,6.3000002,165,
Turkey,1900,15.7,292,
Turkey,1950,24.799999,663,
Turkey,2000,64.699997,5203,
Ukraine,-10000,0,0,
Ukraine,-5000,0,0,
Ukraine,0,0,0,
